-cornerpoints-
nrcorners 981
1 0 0
2 7.69231e-005 0
3 0.000153846 0
4 0.000230769 0
5 0.000307692 0
6 0.000384615 0
7 0.000461538 0
8 0.000538462 0
9 0.000615385 0
10 0.000692308 0
11 0.000769231 0
12 0.000846154 0
13 0.000923077 0
14 0.001 0
15 0.00107692 0
16 0.00115385 0
17 0.00123077 0
18 0.00130769 0
19 0.00138462 0
20 0.00146154 0
21 0.00153846 0
22 0.00161538 0
23 0.00169231 0
24 0.00176923 0
25 0.00184615 0
26 0.00192308 0
27 0.002 0
28 0 0.000135135
29 7.69231e-005 0.000135135
30 0.000153846 0.000135135
31 0.000230769 0.000135135
32 0.000307692 0.000135135
33 0.000384615 0.000135135
34 0.000461538 0.000135135
35 0.000538462 0.000135135
36 0.000615385 0.000135135
37 0.000692308 0.000135135
38 0.000769231 0.000135135
39 0.000846154 0.000135135
40 0.000923077 0.000135135
41 0.001 0.000135135
42 0.00107692 0.000135135
43 0.00115385 0.000135135
44 0.00123077 0.000135135
45 0.00130769 0.000135135
46 0.00138462 0.000135135
47 0.00146154 0.000135135
48 0.00153846 0.000135135
49 0.00161538 0.000135135
50 0.00169231 0.000135135
51 0.00176923 0.000135135
52 0.00184615 0.000135135
53 0.00192308 0.000135135
54 0.002 0.000135135
55 3.84615e-005 0.00027027
56 0.000115385 0.00027027
57 0.000192308 0.00027027
58 0.000269231 0.00027027
59 0.000346154 0.00027027
60 0.000423077 0.00027027
61 0.0005 0.00027027
62 0.000576923 0.00027027
63 0.000653846 0.00027027
64 0.000730769 0.00027027
65 0.000807692 0.00027027
66 0.000884615 0.00027027
67 0.000961538 0.00027027
68 0.00103846 0.00027027
69 0.00111538 0.00027027
70 0.00119231 0.00027027
71 0.00126923 0.00027027
72 0.00134615 0.00027027
73 0.00142308 0.00027027
74 0.0015 0.00027027
75 0.00157692 0.00027027
76 0.00165385 0.00027027
77 0.00173077 0.00027027
78 0.00180769 0.00027027
79 0.00188462 0.00027027
80 0.00196154 0.00027027
81 3.84615e-005 0.000405405
82 0.000115385 0.000405405
83 0.000192308 0.000405405
84 0.000269231 0.000405405
85 0.000346154 0.000405405
86 0.000423077 0.000405405
87 0.0005 0.000405405
88 0.000576923 0.000405405
89 0.000653846 0.000405405
90 0.000730769 0.000405405
91 0.000807692 0.000405405
92 0.000884615 0.000405405
93 0.000961538 0.000405405
94 0.00103846 0.000405405
95 0.00111538 0.000405405
96 0.00119231 0.000405405
97 0.00126923 0.000405405
98 0.00134615 0.000405405
99 0.00142308 0.000405405
100 0.0015 0.000405405
101 0.00157692 0.000405405
102 0.00165385 0.000405405
103 0.00173077 0.000405405
104 0.00180769 0.000405405
105 0.00188462 0.000405405
106 0.00196154 0.000405405
107 0 0.000540541
108 7.69231e-005 0.000540541
109 0.000153846 0.000540541
110 0.000230769 0.000540541
111 0.000307692 0.000540541
112 0.000384615 0.000540541
113 0.000461538 0.000540541
114 0.000538462 0.000540541
115 0.000615385 0.000540541
116 0.000692308 0.000540541
117 0.000769231 0.000540541
118 0.000846154 0.000540541
119 0.000923077 0.000540541
120 0.001 0.000540541
121 0.00107692 0.000540541
122 0.00115385 0.000540541
123 0.00123077 0.000540541
124 0.00130769 0.000540541
125 0.00138462 0.000540541
126 0.00146154 0.000540541
127 0.00153846 0.000540541
128 0.00161538 0.000540541
129 0.00169231 0.000540541
130 0.00176923 0.000540541
131 0.00184615 0.000540541
132 0.00192308 0.000540541
133 0.002 0.000540541
134 0 0.000675676
135 7.69231e-005 0.000675676
136 0.000153846 0.000675676
137 0.000230769 0.000675676
138 0.000307692 0.000675676
139 0.000384615 0.000675676
140 0.000461538 0.000675676
141 0.000538462 0.000675676
142 0.000615385 0.000675676
143 0.000692308 0.000675676
144 0.000769231 0.000675676
145 0.000846154 0.000675676
146 0.000923077 0.000675676
147 0.001 0.000675676
148 0.00107692 0.000675676
149 0.00115385 0.000675676
150 0.00123077 0.000675676
151 0.00130769 0.000675676
152 0.00138462 0.000675676
153 0.00146154 0.000675676
154 0.00153846 0.000675676
155 0.00161538 0.000675676
156 0.00169231 0.000675676
157 0.00176923 0.000675676
158 0.00184615 0.000675676
159 0.00192308 0.000675676
160 0.002 0.000675676
161 3.84615e-005 0.000810811
162 0.000115385 0.000810811
163 0.000192308 0.000810811
164 0.000269231 0.000810811
165 0.000346154 0.000810811
166 0.000423077 0.000810811
167 0.0005 0.000810811
168 0.000576923 0.000810811
169 0.000653846 0.000810811
170 0.000730769 0.000810811
171 0.000807692 0.000810811
172 0.000884615 0.000810811
173 0.000961538 0.000810811
174 0.00103846 0.000810811
175 0.00111538 0.000810811
176 0.00119231 0.000810811
177 0.00126923 0.000810811
178 0.00134615 0.000810811
179 0.00142308 0.000810811
180 0.0015 0.000810811
181 0.00157692 0.000810811
182 0.00165385 0.000810811
183 0.00173077 0.000810811
184 0.00180769 0.000810811
185 0.00188462 0.000810811
186 0.00196154 0.000810811
187 3.84615e-005 0.000945946
188 0.000115385 0.000945946
189 0.000192308 0.000945946
190 0.000269231 0.000945946
191 0.000346154 0.000945946
192 0.000423077 0.000945946
193 0.0005 0.000945946
194 0.000576923 0.000945946
195 0.000653846 0.000945946
196 0.000730769 0.000945946
197 0.000807692 0.000945946
198 0.000884615 0.000945946
199 0.000961538 0.000945946
200 0.00103846 0.000945946
201 0.00111538 0.000945946
202 0.00119231 0.000945946
203 0.00126923 0.000945946
204 0.00134615 0.000945946
205 0.00142308 0.000945946
206 0.0015 0.000945946
207 0.00157692 0.000945946
208 0.00165385 0.000945946
209 0.00173077 0.000945946
210 0.00180769 0.000945946
211 0.00188462 0.000945946
212 0.00196154 0.000945946
213 0 0.00108108
214 7.69231e-005 0.00108108
215 0.000153846 0.00108108
216 0.000230769 0.00108108
217 0.000307692 0.00108108
218 0.000384615 0.00108108
219 0.000461538 0.00108108
220 0.000538462 0.00108108
221 0.000615385 0.00108108
222 0.000692308 0.00108108
223 0.000769231 0.00108108
224 0.000846154 0.00108108
225 0.000923077 0.00108108
226 0.001 0.00108108
227 0.00107692 0.00108108
228 0.00115385 0.00108108
229 0.00123077 0.00108108
230 0.00130769 0.00108108
231 0.00138462 0.00108108
232 0.00146154 0.00108108
233 0.00153846 0.00108108
234 0.00161538 0.00108108
235 0.00169231 0.00108108
236 0.00176923 0.00108108
237 0.00184615 0.00108108
238 0.00192308 0.00108108
239 0.002 0.00108108
240 0 0.00121622
241 7.69231e-005 0.00121622
242 0.000153846 0.00121622
243 0.000230769 0.00121622
244 0.000307692 0.00121622
245 0.000384615 0.00121622
246 0.000461538 0.00121622
247 0.000538462 0.00121622
248 0.000615385 0.00121622
249 0.000692308 0.00121622
250 0.000769231 0.00121622
251 0.000846154 0.00121622
252 0.000923077 0.00121622
253 0.001 0.00121622
254 0.00107692 0.00121622
255 0.00115385 0.00121622
256 0.00123077 0.00121622
257 0.00130769 0.00121622
258 0.00138462 0.00121622
259 0.00146154 0.00121622
260 0.00153846 0.00121622
261 0.00161538 0.00121622
262 0.00169231 0.00121622
263 0.00176923 0.00121622
264 0.00184615 0.00121622
265 0.00192308 0.00121622
266 0.002 0.00121622
267 3.84615e-005 0.00135135
268 0.000115385 0.00135135
269 0.000192308 0.00135135
270 0.000269231 0.00135135
271 0.000346154 0.00135135
272 0.000423077 0.00135135
273 0.0005 0.00135135
274 0.000576923 0.00135135
275 0.000653846 0.00135135
276 0.000730769 0.00135135
277 0.000807692 0.00135135
278 0.000884615 0.00135135
279 0.000961538 0.00135135
280 0.00103846 0.00135135
281 0.00111538 0.00135135
282 0.00119231 0.00135135
283 0.00126923 0.00135135
284 0.00134615 0.00135135
285 0.00142308 0.00135135
286 0.0015 0.00135135
287 0.00157692 0.00135135
288 0.00165385 0.00135135
289 0.00173077 0.00135135
290 0.00180769 0.00135135
291 0.00188462 0.00135135
292 0.00196154 0.00135135
293 3.84615e-005 0.00148649
294 0.000115385 0.00148649
295 0.000192308 0.00148649
296 0.000269231 0.00148649
297 0.000346154 0.00148649
298 0.000423077 0.00148649
299 0.0005 0.00148649
300 0.000576923 0.00148649
301 0.000653846 0.00148649
302 0.000730769 0.00148649
303 0.000807692 0.00148649
304 0.000884615 0.00148649
305 0.000961538 0.00148649
306 0.00103846 0.00148649
307 0.00111538 0.00148649
308 0.00119231 0.00148649
309 0.00126923 0.00148649
310 0.00134615 0.00148649
311 0.00142308 0.00148649
312 0.0015 0.00148649
313 0.00157692 0.00148649
314 0.00165385 0.00148649
315 0.00173077 0.00148649
316 0.00180769 0.00148649
317 0.00188462 0.00148649
318 0.00196154 0.00148649
319 0 0.00162162
320 7.69231e-005 0.00162162
321 0.000153846 0.00162162
322 0.000230769 0.00162162
323 0.000307692 0.00162162
324 0.000384615 0.00162162
325 0.000461538 0.00162162
326 0.000538462 0.00162162
327 0.000615385 0.00162162
328 0.000692308 0.00162162
329 0.000769231 0.00162162
330 0.000846154 0.00162162
331 0.000923077 0.00162162
332 0.001 0.00162162
333 0.00107692 0.00162162
334 0.00115385 0.00162162
335 0.00123077 0.00162162
336 0.00130769 0.00162162
337 0.00138462 0.00162162
338 0.00146154 0.00162162
339 0.00153846 0.00162162
340 0.00161538 0.00162162
341 0.00169231 0.00162162
342 0.00176923 0.00162162
343 0.00184615 0.00162162
344 0.00192308 0.00162162
345 0.002 0.00162162
346 0 0.00175676
347 7.69231e-005 0.00175676
348 0.000153846 0.00175676
349 0.000230769 0.00175676
350 0.000307692 0.00175676
351 0.000384615 0.00175676
352 0.000461538 0.00175676
353 0.000538462 0.00175676
354 0.000615385 0.00175676
355 0.000692308 0.00175676
356 0.000769231 0.00175676
357 0.000846154 0.00175676
358 0.000923077 0.00175676
359 0.001 0.00175676
360 0.00107692 0.00175676
361 0.00115385 0.00175676
362 0.00123077 0.00175676
363 0.00130769 0.00175676
364 0.00138462 0.00175676
365 0.00146154 0.00175676
366 0.00153846 0.00175676
367 0.00161538 0.00175676
368 0.00169231 0.00175676
369 0.00176923 0.00175676
370 0.00184615 0.00175676
371 0.00192308 0.00175676
372 0.002 0.00175676
373 3.84615e-005 0.00189189
374 0.000115385 0.00189189
375 0.000192308 0.00189189
376 0.000269231 0.00189189
377 0.000346154 0.00189189
378 0.000423077 0.00189189
379 0.0005 0.00189189
380 0.000576923 0.00189189
381 0.000653846 0.00189189
382 0.000730769 0.00189189
383 0.000807692 0.00189189
384 0.000884615 0.00189189
385 0.000961538 0.00189189
386 0.00103846 0.00189189
387 0.00111538 0.00189189
388 0.00119231 0.00189189
389 0.00126923 0.00189189
390 0.00134615 0.00189189
391 0.00142308 0.00189189
392 0.0015 0.00189189
393 0.00157692 0.00189189
394 0.00165385 0.00189189
395 0.00173077 0.00189189
396 0.00180769 0.00189189
397 0.00188462 0.00189189
398 0.00196154 0.00189189
399 3.84615e-005 0.00202703
400 0.000115385 0.00202703
401 0.000192308 0.00202703
402 0.000269231 0.00202703
403 0.000346154 0.00202703
404 0.000423077 0.00202703
405 0.0005 0.00202703
406 0.000576923 0.00202703
407 0.000653846 0.00202703
408 0.000730769 0.00202703
409 0.000807692 0.00202703
410 0.000884615 0.00202703
411 0.000961538 0.00202703
412 0.00103846 0.00202703
413 0.00111538 0.00202703
414 0.00119231 0.00202703
415 0.00126923 0.00202703
416 0.00134615 0.00202703
417 0.00142308 0.00202703
418 0.0015 0.00202703
419 0.00157692 0.00202703
420 0.00165385 0.00202703
421 0.00173077 0.00202703
422 0.00180769 0.00202703
423 0.00188462 0.00202703
424 0.00196154 0.00202703
425 0 0.00216216
426 7.69231e-005 0.00216216
427 0.000153846 0.00216216
428 0.000230769 0.00216216
429 0.000307692 0.00216216
430 0.000384615 0.00216216
431 0.000461538 0.00216216
432 0.000538462 0.00216216
433 0.000615385 0.00216216
434 0.000692308 0.00216216
435 0.000769231 0.00216216
436 0.000846154 0.00216216
437 0.000923077 0.00216216
438 0.001 0.00216216
439 0.00107692 0.00216216
440 0.00115385 0.00216216
